Country	Birth rate	Life expectancy
Vietnam	1.822	74.828243902
Vanuatu	3.869	70.819487805
Tonga	3.911	72.150658537
Timor-Leste	5.578	61.999853659
Thailand	1.579	73.927658537
Solomon Islands	4.229	67.465195122
Singapore	1.15	81.641463415
Samoa	3.86	72.306390244
Philippines	3.142	68.484317073
Papua New Guinea	3.951	62.440609756
New Zealand	2.16	80.702439024
New Caledonia	2.141	76.301682927
Myanmar	2.002	64.662097561
Mongolia	2.504	68.194975610
Micronesia	3.451	68.764829268
Malaysia	2.635	74.024560976
Macao SAR, China	1.092	80.775317073
Lao PDR	2.747	67.064
Korea	1.22	80.761951220
Japan	1.39	82.932682927
Indonesia	2.117	68.889658537
Hong Kong SAR, China	1.108	82.878048780
Guam	2.47	75.994268293
French Polynesia	2.09	75.076878049
Fiji	2.668	69.225829268
Dem. Rep. Korea	2.022	68.532146341
China	1.598	73.273097561
Cambodia	2.581	62.536219512
Brunei	2.042	77.932024390
Australia	1.92	81.695121951
Uzbekistan	2.499	68.001
United Kingdom	1.94	80.402439024
Ukraine	1.445	70.275609756
Turkmenistan	2.399	64.863512195
Turkey	2.088	73.696658537
Tajikistan	3.297	67.259902439
Switzerland	1.5	82.246341463
Sweden	1.98	81.451219512
Spain	1.39	81.626829268
Slovenia	1.57	79.421951220
Slovak Republic	1.4	75.112195122
Serbia	1.4	73.936585366
Russia	1.54	68.804878049
Romania	1.38	73.458536585
Portugal	1.32	79.026829268
Poland	1.38	76.246341463
Norway	1.95	80.997560976
Netherlands	1.79	80.702439024
Montenegro	1.656	74.311097561
Moldova	1.475	68.903707317
Macedonia	1.422	74.618853659
Luxembourg	1.63	80.087804878
Lithuania	1.55	73.268292683
Latvia	1.17	73.482926829
Kyrgyz Republic	2.898	69.368463415
Kosovo	2.2893	69.884390244
Kazakhstan	2.59	68.295365854
Italy	1.4	81.736585366
Ireland	2.07	80.291951220
Iceland	2.2	81.451219512
Hungary	1.25	74.207317073
Greece	1.44	80.387804878
Germany	1.39	79.987804878
Georgia	1.555	73.327341463
France	2	81.368292683
Finland	1.87	79.870731707
Estonia	1.63	75.429268293
Denmark	1.87	79.1
Czech Republic	1.49	77.424390244
Cyprus	1.476	79.380390244
Croatia	1.46	76.475609756
Channel Islands	1.46	79.832
Bulgaria	1.49	73.512195122
Bosnia and Herzegovina	1.148	75.400439024
Belgium	1.84	79.936585366
Belarus	1.44	70.404878049
Azerbaijan	2.3	70.506512195
Austria	1.44	80.382926829
Armenia	1.736	73.783560976
Albania	1.536	76.900951220
Virgin Islands	1.8	79.189439024
Venezuela	2.49	74.127317073
Uruguay	1.9856	76.236829268
Trinidad and Tobago	1.639	69.755
The Bahamas	1.896	75.222121951
Suriname	2.336	70.335317073
St. Vincent and the Grenadines	2.064	72.112536585
St. Lucia	1.98	74.439902439
Puerto Rico	1.797	78.913292683
Peru	2.501	73.764975610
Paraguay	2.954	72.277
Panama	2.484	75.974243902
Nicaragua	2.622	73.729219512
Mexico	2.32	76.683780488
Jamaica	2.329	72.847121951
Honduras	3.139	72.825926829
Haiti	3.34	61.763
Guyana	2.262	69.549146341
Guatemala	3.983	70.825414634
Grenada	2.235	75.660439024
El Salvador	2.25	71.732365854
Ecuador	2.479	75.462292683
Dominican Republic	2.58	73.200024390
Cuba	1.467	78.964146341
Costa Rica	1.848	79.192609756
Colombia	2.1	73.429682927
Chile	1.862	78.885731707
Brazil	1.83	73.099536585
Bolivia	3.348	66.268560976
Belize	2.79	75.839951220
Barbados	1.551	76.572829268
Aruba	1.699	74.975170732
Argentina	2.211	75.632146341
Yemen	5.2	65.030463415
West Bank and Gaza	4.453	72.643682927
United Arab Emirates	1.749	76.573609756
Tunisia	2.04	74.6
Syrian Arab Republic	2.934	75.702560976
Saudi Arabia	2.811	73.850414634
Qatar	2.271	78.097585366
Oman	2.309	73.124609756
Morocco	2.279	71.864634146
Malta	1.38	80.948780488
Libya	2.564	74.753121951
Lebanon	1.8	72.408756098
Kuwait	2.295	74.604731707
Jordan	3.8	73.289658537
Israel	3.03	81.504878049
Iraq	4.702	68.486048780
Iran	1.67	72.751853659
Egypt	2.733	72.975268293
Djibouti	3.75	57.527390244
Bahrain	2.54	75.023829268
Algeria	2.264	72.852536585
United States	2.1	78.241463415
Canada	1.677	80.797804878
Bermuda	1.764	79.288536585
Sri Lanka	2.313	74.722609756
Pakistan	3.423	65.198853659
Nepal	2.727	68.394829268
Maldives	1.752	76.551414634
India	2.625	65.131341463
Bhutan	2.399	66.908853659
Bangladesh	2.245	68.634804878
Afghanistan	6.288	48.282195122
Zimbabwe	3.29	49.860878049
Zambia	6.258	48.455487805
Uganda	6.149	53.614634146
Togo	4.072	56.588707317
The Gambia	4.896	58.160024390
Tanzania	5.544	57.387487805
Swaziland	3.364	48.342804878
Sudan	4.4	61.108243902
South Africa	2.458	52.081487805
Somalia	6.339	50.895536585
Sierra Leone	4.982	47.402195122
Seychelles	2.5	73.034146341
Senegal	4.819	58.954073171
Rwanda	5.371	55.057121951
Nigeria	5.525	51.410024390
Niger	7.063	54.265634146
Namibia	3.217	62.070097561
Mozambique	4.912	49.696926829
Mauritius	1.47	72.967317073
Mauritania	4.533	58.216951220
Mali	6.294	50.954829268
Malawi	5.99	53.462634146
Madagascar	4.651	66.467073171
Liberia	5.238	56.147585366
Lesotho	3.199	47.365073171
Kenya	4.718	56.497073171
Guinea-Bissau	5.063	47.700658537
Guinea	5.246	53.638585366
Ghana	4.17	63.837268293
Gabon	3.25	62.286682927
Ethiopia	4.193	58.715097561
Eritrea	4.453	60.994195122
Equatorial Guinea	5.185	50.840804878
Dem. Rep. Congo	5.775	48.069585366
Congo	4.544	56.960195122
Comoros	4.919	60.626268293
Chad	5.981	49.194829268
Central African Republic	4.631	47.618463415
Cape Verde	2.405	73.774048780
Cameroon	4.487	51.062756098
Burundi	4.338	49.877219512
Burkina Faso	5.85	54.924195122
Botswana	2.75	53.109512195
Benin	5.287	55.585585366
Angola	5.443	50.653658537
